cell_nm	batch_id	batch_name	cond	f_no_digestion	mean_f_fend_dup	max_chrom_cov_abber	f_trans	trans_align	total_contacts	cis_ab_comp	trans_ab_comp	passed_qc	mean_insu	loop_enr_EE	loop_enr_LL	ord	group	f_mitotic_band	f_near_band	far_mu	repli_score
1CDU_121	11	1CDU_2312	1CDU	0.400462085	0.012133435	0.227996549	0.078268053	0.120822666	29054	0.36360778299999996	0.272660792	1	2.410436247	-0.6374299210000001	1.584962501	1041.0	early-S	0.12168204699999999	0.7282846540000001	31175475.61	1.259021911
1CDU_123	11	1CDU_2312	1CDU	0.405800175	0.013196721000000002	0.407021939	0.085164981	0.284024736	37762	0.46010962899999996	0.155518707	1	2.49420209	1.252387162	0.754887502	788.0	early-S	0.122018485	0.6987179490000001	29862450.78	1.177146857
1CDU_126	11	1CDU_2312	1CDU	0.225348868	0.016475972	0.39344426299999996	0.12479763699999999	0.074381842	91420	0.39957829899999997	0.42043856700000004	1	2.610047256	0.276840205	1.782901878	1011.0	early-S	0.107751882	0.7305000359999999	31763047.23	1.231731877
1CDU_127	11	1CDU_2312	1CDU	0.33991945	0.020969243999999998	0.342004488	0.088437092	0.22169206100000002	118785	0.56181914	0.303854346	1	2.534498138	0.650550842	0.880418384	844.0	early-S	0.11610587300000001	0.7193695459999999	27959480.85	1.167158048
1CDU_373	12	1CDU_2851	1CDU	0.48237183899999997	0.01825372	0.328604563	0.069678928	0.219998177	36783	0.547277106	0.343516431	1	2.515019605	0.807354922	1.0	697.0	early-S	0.120537232	0.6890513429999999	31683088.06	1.138247713
1CDU_374	12	1CDU_2851	1CDU	0.37215205	0.024467657	0.215614687	0.063898636	0.216586351	117123	0.3422916	0.274667222	1	2.481194363	1.20469042	1.099535674	362.0	G1	0.14240324699999998	0.613910298	29362762.53	1.061477042
1CDU_375	12	1CDU_2851	1CDU	0.38268111	0.027908926	0.334573108	0.080640031	0.207661729	154055	0.497754618	0.361921599	1	2.512870311	-0.057143907	0.491853096	443.0	early-S	0.141133815	0.630612314	32668180.42	1.0637375470000001
1CDU_376	12	1CDU_2851	1CDU	0.476033748	0.025876569	0.345298537	0.102663209	0.10037714199999999	141521	0.399474559	0.22393828600000001	1	2.444326845	1.148863386	0.8479969070000001	314.0	G1	0.144418063	0.5628270439999999	32776890.7	1.213706315
1CDU_383	12	1CDU_2851	1CDU	0.451395919	0.023904993	0.149691769	0.060338623	0.14173022	58354	0.353113988	0.347440085	1	2.3394962919999998	-0.05246742	1.906890596	540.0	early-S	0.143497758	0.648654709	29988351.01	1.109642609
1CDU_384	12	1CDU_2851	1CDU	0.33576646299999996	0.047453622	0.13181562300000002	0.060540765	0.23138198100000001	366628	0.39297927	0.22882611100000003	1	2.4692793969999998	0.94005746	0.502500341	212.0	G1	0.151163081	0.568711626	27025160.22	1.0663281409999998
