cell_nm	8_35	8_36	8_37	8_38	8_39	8_40	8_41	8_42	8_43	8_44	8_45	8_46	8_47	8_48	8_49	8_50	8_51	8_52	8_53	8_54	8_55	8_56	8_57	8_58	8_59	8_60	8_61	8_62	8_63	8_64	8_65	8_66	8_67	8_68	8_69	8_70	8_71	8_72	8_73	8_74	8_75	8_76	8_77	8_78	8_79	8_80	8_81	8_82	8_83	8_84	8_85	8_86	8_87	8_88	8_89	8_90	8_91	8_92	8_93	8_94	8_95	8_96	8_97	8_98	8_99	8_100	8_101	8_102	8_103	8_104	8_105	8_106	8_107	8_108	8_109	8_110	8_111	8_112	8_113	8_114	8_115	8_116	8_117	8_118	8_119	8_120	8_121	8_122	8_123	8_124	8_125	8_126	8_127	8_128	8_129	8_130	8_131	8_132	8_133	8_134	8_135	8_136
1CDU_1	0.70667562509	0.675481115324	0.692278159044	0.658684071603	0.676680904161	0.685079426021	0.655084705092	0.673081537649	0.712674569276	0.682679848347	0.719873302299	0.656284493929	0.655084705092	0.656284493929	0.721073091136	0.679080481835	0.699476892067	0.741469501368	0.633488506023	0.694677736718	0.72347266881	0.691078370207	0.711474780439	0.740269712531	0.719873302299	0.745068867879	0.727072035322	0.685079426021	0.754667178577	0.73187119067	0.716273935787	0.746268656716	0.639487450209	0.650285549743	0.608292940442	0.597494840908	0.581897586025	0.611892306954	0.587896530211	0.557901809282	0.555502231607	0.539904976724	0.521908144167	0.497912367423	0.502711522772	0.442722080914	0.421125881845	0.421125881845	0.387531794404	0.37673369487	0.391131160916	0.33834045208	0.371934539521	0.311945097663	0.271152277199	0.295148053943	0.263953544176	0.261553966502	0.272352066036	0.267552910688	0.250755866967	0.303546575803	0.293948265105	0.299947209291	0.255555022316	0.259154388828	0.242357345107	0.28794932092	0.284349954408	0.308345731151	0.311945097663	0.307145942314	0.293948265105	0.363536017661	0.381532850218	0.41032778231	0.39353073859	0.37673369487	0.443921869751	0.470317224169	0.449920813937	0.375533906033	0.455919758123	0.501511733935	0.503911311609	0.405528626962	0.38513221673	0.38513221673	0.361136439987	0.307145942314	0.267552910688	0.24115755627	0.166770648366	0.1775687479	0.100782262322	0.0551902865096	0.0587896530211	0.0407928204636	0.0179968325575	0.0191966213946	0.0311945097663	0.00359936651149
1CDU_2	0.682573184425	0.670925177865	0.665334134716	0.671391098127	0.693289350461	0.668129656291	0.64483364317	0.700278154397	0.641572201333	0.622003550312	0.688164227574	0.659277171305	0.663470453667	0.66999333734	0.679777662851	0.68350502495	0.698880393609	0.678379902064	0.727767449879	0.715653523056	0.728699290403	0.739415456439	0.718914964893	0.74547241985	0.730097051191	0.775291316644	0.734290333552	0.771098034282	0.753858984573	0.740347296964	0.716585363581	0.729631130928	0.728233370141	0.723574167517	0.738483615914	0.691425669411	0.667663736028	0.66020901183	0.645299563433	0.652288367369	0.605230420866	0.566093118824	0.599173457454	0.549785909639	0.533944620718	0.526489896519	0.506455325236	0.475238667654	0.460329219257	0.481761551328	0.448681212697	0.423055598265	0.36202004389	0.376929492287	0.388111578584	0.379725013861	0.359690442578	0.33686034972	0.314962097387	0.307041452926	0.305643692139	0.315428017649	0.30005264899	0.318689459486	0.305177771876	0.267904150884	0.307041452926	0.343849153656	0.300518569252	0.308439213713	0.347576515755	0.373202130187	0.335462588933	0.406282468818	0.396498143308	0.411873511967	0.444022010073	0.398361824357	0.394634462258	0.400225505407	0.419794156428	0.484557072903	0.538137903079	0.585195849582	0.553047351476	0.519967012845	0.487352594477	0.419794156428	0.364815565464	0.414203113279	0.334064828145	0.329405625521	0.321950901323	0.279086237181	0.245074058026	0.215255161232	0.185436264438	0.116014145339	0.104366138779	0.0307507373188	0.0312166575812	0.0163072091842
1CDU_4	0.74520645945	0.751168111125	0.737009188396	0.722105059207	0.740735220693	0.726576297963	0.714652994612	0.742970840071	0.729557123801	0.693787213748	0.749677698206	0.770543479071	0.7847024018	0.74520645945	0.768307859693	0.768307859693	0.792154466395	0.816001073097	0.830159995827	0.745951665909	0.811529834341	0.799606530989	0.764581827395	0.791409259935	0.783957195341	0.761601001557	0.731792743179	0.737754394855	0.77203389199	0.774269511368	0.733283156098	0.71763382045	0.748187285287	0.70347489772	0.693787213748	0.661743335991	0.662488542451	0.630444664694	0.618521361343	0.640877555127	0.596910374019	0.58275145129	0.603617232154	0.579770625452	0.573808973776	0.537293857263	0.476932134048	0.50077874075	0.443397843373	0.452340320886	0.417315617292	0.389742978292	0.374093642644	0.368131990968	0.341304558428	0.296592170861	0.304044235455	0.288394899807	0.272000357699	0.217600286159	0.269764738321	0.298827790239	0.247408544537	0.277216802915	0.293611345023	0.288394899807	0.304789441915	0.259331847888	0.291375725645	0.312241506509	0.307770267753	0.325655222779	0.340559351968	0.323419603401	0.319693571104	0.31149630005	0.327145635698	0.344285384266	0.456066353183	0.441907430454	0.385271739535	0.371112816806	0.415079997913	0.395704629968	0.4061375204	0.466499243615	0.45979238548	0.465008830697	0.410608759157	0.39197859767	0.333852493833	0.315967538807	0.341304558428	0.186301614862	0.222071524916	0.110290555999	0.122959065809	0.0566356909182	0.0558904844587	0.0611069296749	0.0454575940264	0.0126685098106
1CDU_5	0.533032906795	0.58852213684	0.54984782499	0.564981251366	0.531351414975	0.580114677742	0.566662743186	0.563299759547	0.554892300449	0.521262464058	0.497721578585	0.578433185923	0.516217988599	0.58684064502	0.553210808629	0.517899480419	0.559936775908	0.516217988599	0.576751694103	0.558255284088	0.54984782499	0.677641203276	0.638966891426	0.620470481411	0.608700038674	0.637285399607	0.566662743186	0.649055842343	0.633922415967	0.58852213684	0.630559432328	0.571707218644	0.600292579577	0.561618267727	0.564981251366	0.546484841351	0.613744514133	0.593566612298	0.605337055035	0.51453649678	0.438869364901	0.536395890434	0.499403070404	0.521262464058	0.51453649678	0.437187873081	0.455684283096	0.470817709472	0.459047266735	0.433824889442	0.464091742194	0.351431790284	0.363202233021	0.373291183938	0.339661347548	0.339661347548	0.348068806645	0.348068806645	0.33125388845	0.356476265743	0.302668527518	0.351431790284	0.32957239663	0.302668527518	0.36824670848	0.380017151217	0.319483445713	0.334616872089	0.359839249382	0.396832069412	0.32957239663	0.374972675758	0.398513561232	0.435506381261	0.47754367675	0.485951135848	0.564981251366	0.640648383246	0.556573792269	0.497721578585	0.593566612298	0.533032906795	0.544803349532	0.622151973231	0.615426005952	0.665870760539	0.654100317802	0.719678498764	0.684367170554	0.632240924148	0.437187873081	0.363202233021	0.149652771939	0.121067411007	0.0908005582553	0.0857560827967	0.0437187873081	0.0201779018345	0.0117704427368	0.0100889509173	0.0100889509173	0.00504447545863
1CDU_7	0.668028318258	0.697974415283	0.665724772333	0.666492620975	0.656510588633	0.6687961669	0.671099712825	0.670331864183	0.66418907505	0.642689313083	0.69183162615	0.707956447625	0.704117204417	0.70104580985	0.699510112567	0.748652425634	0.799330435984	0.755563063409	0.803169679193	0.81084816561	0.826205138443	0.860758327319	0.917579126803	0.906061397177	0.906829245819	0.977471320853	0.963650045303	0.988989050478	1.04964909317	1.00357817467	1.00818526652	1.0373635149	1.02277439071	0.978239169495	1.02507793664	0.96211434802	0.939078888769	0.912972034952	0.894543667552	0.809312468326	0.782437765868	0.744045333784	0.647296404933	0.624260945682	0.558225962498	0.539029746456	0.459941336364	0.456869941797	0.414638266505	0.363960256154	0.369335196646	0.336317705054	0.305603759387	0.271050570512	0.286407543345	0.249550808545	0.248015111261	0.223443954728	0.224211803369	0.235729532994	0.178140884869	0.177373036227	0.221140408803	0.196569252269	0.210390527819	0.17890873351	0.203479890044	0.195801403627	0.241104473486	0.206551284611	0.211158376461	0.195801403627	0.206551284611	0.200408495477	0.240336624845	0.273354116437	0.271050570512	0.295621727045	0.30253236482	0.29331818112	0.282568300137	0.374710137138	0.29331818112	0.262604235453	0.190426463136	0.183515825361	0.201176344119	0.181980128077	0.188890765852	0.166623155244	0.145891241918	0.11440944761	0.14205199871	0.0606600426924	0.0606600426924	0.0706420750342	0.0683385291091	0.0437673725755	0.0368567348004	0.0222676106086	0.0168926701169	0.00614278913341
1CDU_8	0.67777538637	0.686837564238	0.714401688586	0.694389379128	0.715912051564	0.708360236674	0.700053240295	0.704584329229	0.68532720126	0.713268916352	0.715156870075	0.714024097841	0.757447033458	0.745741720379	0.77859211515	0.72648459241	0.755181488991	0.752160763035	0.76764198356	0.76009016867	0.798226833864	0.78954224674	0.815596008111	0.774816207705	0.784255976318	0.778214524406	0.768774755793	0.766886802071	0.709115418163	0.750650400057	0.687592745727	0.68872551796	0.680040930837	0.668713208502	0.637750767453	0.642659447132	0.618116048739	0.571672387166	0.589041561413	0.562610209299	0.537689220162	0.546373807285	0.521452818149	0.487092060399	0.48293856221	0.443291534038	0.464814206474	0.433851765426	0.411196320756	0.424034406069	0.360599160993	0.34096444228	0.351536983125	0.320574542077	0.311134773464	0.275263652737	0.246566756156	0.245433983922	0.255628934024	0.260160022958	0.246566756156	0.243923620944	0.227309628186	0.236749396799	0.227309628186	0.225421674464	0.214093952129	0.22089058553	0.235239033821	0.232595898609	0.268089428592	0.263558339658	0.268844610081	0.263935930402	0.289234510284	0.340209260791	0.338698897813	0.372304474073	0.32170731431	0.350404210892	0.316798634632	0.37457001854	0.35191457387	0.334545399623	0.3258608125	0.369283748117	0.322840086544	0.331524673667	0.367773385139	0.354557709081	0.283948239861	0.230707944887	0.241280485733	0.165762336834	0.17557969619	0.13857580323	0.13442230504	0.120451447494	0.0653231987978	0.0758957396436	0.0524851134849	0.0124604945684
1CDU_12	0.673621366354	0.642822734129	0.589122554865	0.63097710635	0.634925648943	0.669672823761	0.643612442647	0.661775738575	0.62544914672	0.634925648943	0.613603518941	0.613603518941	0.592281388939	0.664934572649	0.662565447093	0.656247778945	0.664934572649	0.631766814869	0.650719819315	0.685466994132	0.699681747467	0.702840581541	0.693364079318	0.694943496355	0.690205245244	0.664934572649	0.683097868577	0.722583294506	0.7818114334	0.690205245244	0.69810233043	0.727321545618	0.718634751913	0.693364079318	0.710737666727	0.65308894487	0.634135940424	0.639663900054	0.648350693759	0.573328384493	0.570169550419	0.582804886716	0.586753429309	0.519628205229	0.562272465233	0.461189774854	0.499095783746	0.49672665819	0.491988407079	0.441447061889	0.421704348925	0.389326299663	0.349840873734	0.373532129291	0.364055627068	0.337995245955	0.363265918549	0.321411367064	0.370373295217	0.37984979744	0.32378049262	0.335626120399	0.32378049262	0.332467286325	0.321411367064	0.356158541882	0.387746882626	0.331677577806	0.427232308555	0.389326299663	0.45803094078	0.393274842256	0.434339685222	0.436708810778	0.448554438557	0.47461481967	0.57490780153	0.528314998934	0.646771276722	0.665724281168	0.695733204874	0.667303698205	0.669672823761	0.583594595235	0.751012801175	0.736008339322	0.668093406724	0.678359617465	0.675990491909	0.641243317092	0.440657353371	0.280346524098	0.210852174462	0.174525582607	0.135829865197	0.0844988114887	0.0615972644497	0.0584384303753	0.0165838788903	0.0205324214832	0.00789708518586	0.00947650222303
1CDU_13	0.720523059371	0.720523059371	0.712624511826	0.694194567555	0.692439334767	0.704725964281	0.68190793804	0.650313747861	0.635394269165	0.63890473474	0.646803282285	0.669621308526	0.702970731493	0.731054456097	0.725788757734	0.730176839703	0.688928869191	0.747729167581	0.715257361008	0.734564921673	0.724033524946	0.71350212822	0.753872482338	0.716134977401	0.761771029883	0.716134977401	0.692439334767	0.711746895432	0.696827416736	0.706481197069	0.676642239677	0.687173636404	0.618719557681	0.60028961341	0.623107639651	0.594146298653	0.572205888806	0.552020711747	0.612576242924	0.538856465839	0.516916055992	0.485321865812	0.479178551055	0.447584360876	0.45987099039	0.445829128088	0.42125586906	0.391416911668	0.370354118215	0.342270393611	0.321207600158	0.317697134582	0.301900039493	0.28083724604	0.263284918162	0.282592478828	0.235201193558	0.236956426346	0.215893632893	0.214138400105	0.214138400105	0.224669796832	0.212383167318	0.225547413226	0.207117468954	0.207117468954	0.215016016499	0.224669796832	0.25363113783	0.175523278775	0.196586072228	0.224669796832	0.25363113783	0.229935495195	0.235201193558	0.278204396858	0.30804335425	0.271183465707	0.285225328009	0.284347711615	0.301900039493	0.374742200184	0.310676203431	0.246610206679	0.347536091974	0.315064285401	0.31945236737	0.349291324762	0.340515160823	0.235201193558	0.294879108342	0.393172144456	0.247487823073	0.263284918162	0.285225328009	0.268550616526	0.220281714862	0.207117468954	0.123743911536	0.0947825705384	0.0658212295406	0.028083724604
1CDU_14	0.652044008577	0.653801539597	0.615135857148	0.634468698373	0.66434672572	0.569440050617	0.595803015923	0.611620795107	0.569440050617	0.58350029878	0.639741291434	0.597560546944	0.629196105311	0.676649442863	0.645013884495	0.636226229393	0.685437097965	0.620408450209	0.667861787761	0.639741291434	0.637983760413	0.710042532251	0.620408450209	0.70652747021	0.692467222046	0.669619318781	0.699497346128	0.659074132658	0.629196105311	0.639741291434	0.646771415515	0.674891911842	0.557137333474	0.590530422862	0.62392351225	0.555379802454	0.558894864494	0.486836092657	0.455200534289	0.476290906535	0.544834616331	0.45871559633	0.428837568983	0.418292382861	0.41477732082	0.367323983268	0.37435410735	0.353263735105	0.381384231432	0.351506204085	0.346233611023	0.261872122043	0.275932370206	0.335688424901	0.261872122043	0.279447432247	0.279447432247	0.228479032655	0.268902246125	0.267144715104	0.270659777145	0.268902246125	0.25132693592	0.231994094696	0.240781749798	0.217933846532	0.253084466941	0.298780273472	0.258357060002	0.277689901227	0.316355583676	0.323385707758	0.367323983268	0.328658300819	0.355021266125	0.37435410735	0.395444479595	0.33393089388	0.384899293473	0.421807444901	0.448170410208	0.525501775106	0.41653485184	0.523744244086	0.423564975922	0.467503251432	0.523744244086	0.513199057963	0.534289430208	0.516714120004	0.543077085311	0.492108685718	0.430595100004	0.369081514289	0.367323983268	0.302295335513	0.260114591023	0.221448908573	0.142360012654	0.12302717143	0.0738163028577	0.0492108685718
1CDU_16	0.8469971278	0.808183613797	0.855622353134	0.833196767266	0.790933163129	0.790933163129	0.859072443268	0.779720370195	0.828021632065	0.752982171659	0.817671361664	0.793520730729	0.852172263	0.835784334866	0.840096947533	0.874597848869	0.845272082733	0.824571541932	0.788345595529	0.896160912204	0.859934965801	0.878047939002	0.882360551669	0.913411362872	0.824571541932	0.900473524871	0.809908658864	0.861660010868	0.805596046197	0.8418219926	0.782307937795	0.793520730729	0.798695865929	0.76074487446	0.700368297122	0.71761874779	0.677942711253	0.637404152183	0.658967215519	0.63912919725	0.579615142446	0.558052079111	0.542526673509	0.515788474974	0.50975081724	0.465762168037	0.4234985639	0.384685049897	0.37519730203	0.349321626027	0.376922347096	0.313095679625	0.316545769758	0.275144688155	0.233743606552	0.264794417754	0.247543967086	0.21563063335	0.17509207428	0.189754957348	0.193205047482	0.200105227749	0.191480002415	0.208730453083	0.182854777081	0.183717299614	0.173367029214	0.194067570015	0.180267209481	0.234606129085	0.21045549815	0.223393336151	0.25358162482	0.238918741752	0.225980903751	0.252719102287	0.255306669887	0.239781264286	0.289807571223	0.293257661356	0.30188288669	0.293257661356	0.294982706423	0.288082526156	0.294982706423	0.305332976824	0.261344327621	0.30188288669	0.317408292292	0.311370634558	0.29153261629	0.273419643088	0.238918741752	0.13196594761	0.16732937148	0.0974650462743	0.0552014421377	0.0957400012075	0.0310508112024	0.0474387393371	0.0224255858684	0.021563063335
