cell_nm	f_trans	trans_align	cis_ab_comp	mean_insu	f_mitotic_band	f_near_band	far_mu	repli_score
1CDU_1	0.7655200765511283	0.4347733532860278	0.6582992646716885	0.8265011808622955	0.16438609316988687	0.6476943671722073	0.5482743808131604	0.4070393215046164
1CDU_2	0.6318351380526727	0.3847289569592261	0.44032120382649165	0.8044516191364315	0.18461805290932284	0.5941242402141456	0.6771743066776882	0.06751816565086344
1CDU_4	0.655460888704593	0.41351086316586133	0.4009965755173045	0.8345325102902492	0.154078308506334	0.6648970346161667	0.6669011454391239	0.38954074179488574
1CDU_5	0.5255745756311114	0.409428447791246	0.37782765678728547	0.7678375059132474	0.2294473853741392	0.47174681597878854	0.5577987989434666	0.23665905283518462
1CDU_7	0.552840168663762	0.41268753107629874	0.549551189988441	0.5378771746236328	0.0856048134390893	0.8520235174901947	0.5334925648447679	0.44255466294170054
1CDU_8	0.6537986744364711	0.5132343789018309	0.33230384662357304	0.7596879637412419	0.13008988848424483	0.7049081832584874	0.6990248691846207	0.4203634859709604
1CDU_12	0.3715913835628821	0.3704515379292008	0.43098737276784604	0.7369748066476289	0.20987467338020452	0.5030589173926932	0.5709186621178675	0.24464014392842204
1CDU_13	0.7650899687004055	0.14807899783419118	0.5458538448331105	0.7549370299000226	0.1177461012716895	0.6909909434468837	0.8787691277654452	0.45719124603613936
1CDU_14	0.6427427745794895	0.09717833394881142	0.28019319931218517	0.810436002464183	0.1592302790817273	0.5317267790907325	0.8587657127805846	0.2564542756686006
1CDU_16	0.6886586344541703	0.253680565152582	0.5214475306966561	0.7624197539626043	0.08335316897129966	0.7993379550068678	0.6898357410325849	0.49879639129615017
1CDU_17	0.6612178501804341	0.3924635454829911	0.6280010396989819	0.8443198892403718	0.10359381571307924	0.693689359300723	0.6646499129496956	0.3328714483215349
1CDU_18	0.483493744648424	0.464532884809188	0.4648746858202989	0.8141857430096797	0.13120702608540932	0.7100895002577712	0.6195802216364105	0.22925184490704975
1CDU_21	0.5015194203369044	0.5778222309939028	0.22363229406697477	0.6470257988040438	0.19333351193898615	0.652830261608863	0.535566871755668	0.5205343348087021
1CDU_23	0.565369645350108	0.30052434349455437	0.46377688103533665	0.8450014791447709	0.13124142339201586	0.6682678191728031	0.7355280777554161	0.28282045019883695
1CDU_24	0.32271105973696	0.5578752407579392	0.3450563406362277	0.7300884594532637	0.3289750086506288	0.28725226310529606	0.4096416550570313	0.28321505545216397
1CDU_25	0.8428120242732777	0.37859223619985266	0.5267112120141133	0.6314981311875294	0.1312533330684422	0.7442762119233248	0.5464125244031313	0.6694292091075478
1CDU_26	0.6713507641041558	0.2931435798882632	0.6163574475176637	0.7570980217500392	0.14303250304247686	0.6897618121541496	0.640220154004322	0.411964299650351
1CDU_27	0.6848988275554911	0.5514077331875288	0.4289796150018505	0.7976101423632547	0.21221147701063034	0.4917820952594678	0.5445664193752401	0.1596482795228753
1CDU_28	0.44186815233915466	0.473961695514766	0.5942365704436182	0.7557148099685729	0.15393716959919032	0.5777492122241294	0.5612384154851916	0.2301774876282976
1CDU_31	0.5926381577632358	0.2443849367221031	0.4882280016361381	0.7874731849928833	0.15308654477505415	0.5918198691560856	0.8271302570378949	0.1626962110257857
1CDU_32	0.7791566803373701	0.3089376480445648	0.41522600612176774	0.7693324811169908	0.1856575051081872	0.5339979091350722	0.7256789712878394	0.3161599994180708
1CDU_33	0.5501682891437389	0.3441036395385317	0.607262638110719	0.45695788975648943	0.056255811565469244	0.8662442955612273	0.7125358897153409	0.26522640160101707
1CDU_35	0.6203766407113617	0.6244057706206619	0.2539078608623299	0.6832471152439339	0.3688811424861129	0.29624362351007116	0.3090635533649271	0.2823743360870892
1CDU_36	0.761513322738421	0.36339787569916904	0.4390690939246086	0.8395847113663117	0.14991645952020646	0.5696601893422835	0.7614929368650738	0.2978981580586999
1CDU_37	0.45582844509945897	0.46957476488304434	0.41049605826005764	0.6998580178855742	0.2843234445752877	0.3258236972843471	0.44122532862004804	0.21568704846560882
1CDU_38	0.7109478202719137	0.6592611624133143	0.31995383932472765	0.5908645251890627	0.12153558211562424	0.8178443695564852	0.4722873299587671	0.5836446905984269
1CDU_41	0.6233988316824011	0.3053910230322074	0.4820289632259446	0.5186720109949197	0.12560069163893753	0.7432512937386471	0.6789201524595984	0.6249183780472789
1CDU_42	0.4709790566485822	0.34248642903626714	0.491773036635633	0.8237847543210517	0.1689875006832188	0.5429478086587183	0.7548657277590927	0.1506399924875419
1CDU_43	0.39199877650255854	0.35835448734540154	0.23143089227520292	0.7268333828858653	0.2672144218949464	0.27846228658262984	0.5449094620693948	0.2958151843200727
1CDU_44	0.7500580573146697	0.15379939029167045	0.26227027485188814	0.7518116375937902	0.24110424538828115	0.44230910066685114	0.7814873479547073	0.15725925514069994
1CDU_48	0.7396666112955135	0.3060954096183023	0.5831985471929145	0.7932427470241012	0.12219612130037191	0.6976235691883206	0.7429266288336778	0.4714138294620147
1CDU_52	0.5995591707067175	0.2646599405870496	0.5572469132970639	0.6699374899890034	0.11748207184939546	0.7567984750047472	0.6802727779454087	0.559093835268925
1CDU_53	0.6687926054635431	0.7249264859652742	0.48806974275948367	0.5414860534142085	0.10364116295634912	0.8259454419949535	0.42849682993441174	0.8854865216262335
1CDU_54	0.6057925949651385	0.3005705538135456	0.42184521708809125	0.8087194042747121	0.11841983683288332	0.7261026895696925	0.7248276075616167	0.36282787443902764
1CDU_55	0.7325256716894265	0.33524481294384556	0.4133256761061439	0.743513959083703	0.19495202179979784	0.5606014344416586	0.6171346824545729	0.36072104315140363
1CDU_56	0.7006957231729498	0.471643330218269	0.42931791580154516	0.8078381801863459	0.1361444447641316	0.6492128236420236	0.6870273797160634	0.3699648799544706
1CDU_57	0.5711098292671004	0.5815830168529684	0.469960155034007	0.7665314902333975	0.23920717326683036	0.4239204691463403	0.5442741185403812	0.3036518977759357
1CDU_58	0.6421189363561844	0.3398823183721839	0.5357895434041194	0.7308644500480534	0.08421535039948103	0.8083125791724164	0.6199709808760961	0.6721732431822875
1CDU_61	0.7013051775873351	0.26672829565712747	0.41601508615850596	0.4670362988618382	0.06963195635468036	0.8398921562578088	0.6754664009141123	0.7567107211050588
1CDU_62	0.4584908348571529	0.4340049302011352	0.44960871683094084	0.8340180699785911	0.2151510296967379	0.47791104700902576	0.5552834713442188	0.22079392010909338
