cell_nm	8_35	8_36	8_37	8_38	8_39	8_40	8_41	8_42	8_43	8_44	8_45	8_46	8_47	8_48	8_49	8_50	8_51	8_52	8_53	8_54	8_55	8_56	8_57	8_58	8_59	8_60	8_61	8_62	8_63	8_64	8_65	8_66	8_67	8_68	8_69	8_70	8_71	8_72	8_73	8_74	8_75	8_76	8_77	8_78	8_79	8_80	8_81	8_82	8_83	8_84	8_85	8_86	8_87	8_88	8_89	8_90	8_91	8_92	8_93	8_94	8_95	8_96	8_97	8_98	8_99	8_100	8_101	8_102	8_103	8_104	8_105	8_106	8_107	8_108	8_109	8_110	8_111	8_112	8_113	8_114	8_115	8_116	8_117	8_118	8_119	8_120	8_121	8_122	8_123	8_124	8_125	8_126	8_127	8_128	8_129	8_130	8_131	8_132
1CDU_1	0.70667562509	0.675481115324	0.692278159044	0.658684071603	0.6766809041609999	0.685079426021	0.655084705092	0.673081537649	0.7126745692759999	0.682679848347	0.719873302299	0.656284493929	0.655084705092	0.656284493929	0.721073091136	0.679080481835	0.6994768920669999	0.741469501368	0.633488506023	0.694677736718	0.7234726688099999	0.6910783702069999	0.711474780439	0.7402697125309999	0.719873302299	0.7450688678790001	0.7270720353219999	0.685079426021	0.754667178577	0.7318711906700001	0.716273935787	0.746268656716	0.639487450209	0.650285549743	0.608292940442	0.597494840908	0.581897586025	0.611892306954	0.587896530211	0.557901809282	0.555502231607	0.539904976724	0.5219081441669999	0.497912367423	0.5027115227719999	0.44272208091399995	0.421125881845	0.421125881845	0.387531794404	0.37673369486999997	0.39113116091600003	0.33834045208	0.37193453952100003	0.311945097663	0.27115227719900004	0.295148053943	0.263953544176	0.26155396650199997	0.272352066036	0.26755291068799997	0.250755866967	0.303546575803	0.293948265105	0.299947209291	0.255555022316	0.259154388828	0.242357345107	0.28794932092	0.284349954408	0.308345731151	0.311945097663	0.307145942314	0.293948265105	0.36353601766099997	0.381532850218	0.41032778231	0.39353073859	0.37673369486999997	0.443921869751	0.470317224169	0.44992081393700006	0.37553390603299996	0.45591975812299995	0.501511733935	0.5039113116089999	0.405528626962	0.38513221673	0.38513221673	0.361136439987	0.307145942314	0.26755291068799997	0.24115755626999996	0.166770648366	0.1775687479	0.10078226232200001	0.0551902865096	0.058789653021099994	0.0407928204636
1CDU_2	0.6825731844249999	0.6709251778649999	0.665334134716	0.671391098127	0.693289350461	0.6681296562910001	0.64483364317	0.700278154397	0.641572201333	0.6220035503119999	0.6881642275740001	0.6592771713050001	0.663470453667	0.66999333734	0.6797776628509999	0.6835050249500001	0.698880393609	0.6783799020640001	0.727767449879	0.715653523056	0.728699290403	0.7394154564390001	0.718914964893	0.74547241985	0.730097051191	0.775291316644	0.7342903335519999	0.7710980342820001	0.753858984573	0.740347296964	0.716585363581	0.729631130928	0.728233370141	0.723574167517	0.738483615914	0.691425669411	0.667663736028	0.66020901183	0.645299563433	0.652288367369	0.605230420866	0.566093118824	0.599173457454	0.549785909639	0.533944620718	0.526489896519	0.506455325236	0.475238667654	0.460329219257	0.48176155132799997	0.448681212697	0.423055598265	0.36202004389	0.37692949228699996	0.388111578584	0.379725013861	0.359690442578	0.33686034971999995	0.314962097387	0.307041452926	0.305643692139	0.31542801764899997	0.30005264899	0.318689459486	0.30517777187600004	0.267904150884	0.307041452926	0.343849153656	0.300518569252	0.308439213713	0.347576515755	0.37320213018700005	0.335462588933	0.406282468818	0.396498143308	0.411873511967	0.44402201007299996	0.398361824357	0.394634462258	0.400225505407	0.41979415642800005	0.484557072903	0.538137903079	0.585195849582	0.553047351476	0.519967012845	0.487352594477	0.41979415642800005	0.364815565464	0.414203113279	0.334064828145	0.329405625521	0.321950901323	0.279086237181	0.245074058026	0.215255161232	0.185436264438	0.11601414533900001
1CDU_4	0.74520645945	0.7511681111249999	0.7370091883959999	0.722105059207	0.7407352206929999	0.7265762979629999	0.7146529946119999	0.742970840071	0.729557123801	0.693787213748	0.749677698206	0.7705434790710001	0.7847024018000001	0.74520645945	0.768307859693	0.768307859693	0.7921544663950001	0.816001073097	0.830159995827	0.7459516659090001	0.811529834341	0.799606530989	0.764581827395	0.791409259935	0.783957195341	0.761601001557	0.731792743179	0.7377543948549999	0.77203389199	0.774269511368	0.733283156098	0.71763382045	0.748187285287	0.70347489772	0.693787213748	0.661743335991	0.662488542451	0.6304446646940001	0.6185213613430001	0.640877555127	0.596910374019	0.5827514512899999	0.603617232154	0.579770625452	0.573808973776	0.537293857263	0.476932134048	0.5007787407500001	0.44339784337300003	0.452340320886	0.417315617292	0.389742978292	0.37409364264399997	0.368131990968	0.341304558428	0.296592170861	0.304044235455	0.288394899807	0.272000357699	0.21760028615899998	0.269764738321	0.29882779023899997	0.24740854453699998	0.277216802915	0.293611345023	0.288394899807	0.304789441915	0.259331847888	0.291375725645	0.312241506509	0.307770267753	0.325655222779	0.340559351968	0.323419603401	0.319693571104	0.31149630005	0.327145635698	0.344285384266	0.45606635318300004	0.441907430454	0.38527173953500005	0.371112816806	0.415079997913	0.395704629968	0.4061375204	0.466499243615	0.45979238548	0.46500883069700005	0.410608759157	0.39197859767	0.333852493833	0.315967538807	0.341304558428	0.186301614862	0.222071524916	0.11029055599899999	0.122959065809	0.0566356909182
1CDU_5	0.533032906795	0.5885221368399999	0.54984782499	0.5649812513660001	0.531351414975	0.580114677742	0.566662743186	0.563299759547	0.554892300449	0.521262464058	0.497721578585	0.578433185923	0.5162179885989999	0.58684064502	0.553210808629	0.517899480419	0.5599367759080001	0.5162179885989999	0.576751694103	0.558255284088	0.54984782499	0.677641203276	0.638966891426	0.6204704814109999	0.608700038674	0.6372853996069999	0.566662743186	0.6490558423430001	0.6339224159669999	0.5885221368399999	0.630559432328	0.571707218644	0.600292579577	0.561618267727	0.5649812513660001	0.546484841351	0.613744514133	0.593566612298	0.605337055035	0.51453649678	0.438869364901	0.5363958904339999	0.499403070404	0.521262464058	0.51453649678	0.437187873081	0.455684283096	0.470817709472	0.459047266735	0.43382488944200004	0.464091742194	0.35143179028399996	0.363202233021	0.373291183938	0.339661347548	0.339661347548	0.348068806645	0.348068806645	0.33125388845	0.356476265743	0.302668527518	0.35143179028399996	0.32957239663000004	0.302668527518	0.3682467084800001	0.38001715121699997	0.319483445713	0.334616872089	0.35983924938199996	0.39683206941200005	0.32957239663000004	0.37497267575800003	0.398513561232	0.43550638126100005	0.47754367675	0.485951135848	0.5649812513660001	0.640648383246	0.556573792269	0.497721578585	0.593566612298	0.533032906795	0.5448033495319999	0.622151973231	0.615426005952	0.6658707605390001	0.654100317802	0.7196784987639999	0.684367170554	0.632240924148	0.437187873081	0.363202233021	0.149652771939	0.121067411007	0.0908005582553	0.0857560827967	0.0437187873081	0.0201779018345
1CDU_7	0.668028318258	0.697974415283	0.665724772333	0.666492620975	0.656510588633	0.6687961669	0.671099712825	0.6703318641830001	0.66418907505	0.642689313083	0.6918316261499999	0.707956447625	0.704117204417	0.70104580985	0.6995101125669999	0.748652425634	0.799330435984	0.755563063409	0.8031696791930001	0.8108481656100001	0.826205138443	0.860758327319	0.917579126803	0.9060613971770001	0.906829245819	0.977471320853	0.963650045303	0.988989050478	1.04964909317	1.00357817467	1.0081852665200002	1.0373635149	1.0227743907100002	0.9782391694949999	1.0250779366399998	0.9621143480200001	0.939078888769	0.912972034952	0.894543667552	0.809312468326	0.782437765868	0.744045333784	0.647296404933	0.624260945682	0.5582259624979999	0.539029746456	0.459941336364	0.456869941797	0.414638266505	0.363960256154	0.369335196646	0.336317705054	0.305603759387	0.271050570512	0.286407543345	0.249550808545	0.248015111261	0.22344395472800002	0.22421180336899998	0.235729532994	0.178140884869	0.17737303622699999	0.221140408803	0.196569252269	0.210390527819	0.17890873351	0.203479890044	0.195801403627	0.241104473486	0.206551284611	0.211158376461	0.195801403627	0.206551284611	0.200408495477	0.24033662484499999	0.27335411643699997	0.271050570512	0.295621727045	0.30253236481999995	0.29331818112	0.282568300137	0.374710137138	0.29331818112	0.262604235453	0.190426463136	0.183515825361	0.20117634411899998	0.181980128077	0.18889076585200001	0.16662315524399998	0.14589124191800001	0.11440944761	0.14205199871	0.0606600426924	0.0606600426924	0.0706420750342	0.0683385291091	0.0437673725755
1CDU_8	0.6777753863699999	0.686837564238	0.7144016885860001	0.694389379128	0.715912051564	0.708360236674	0.7000532402949999	0.704584329229	0.68532720126	0.713268916352	0.715156870075	0.714024097841	0.757447033458	0.745741720379	0.77859211515	0.72648459241	0.755181488991	0.752160763035	0.76764198356	0.76009016867	0.798226833864	0.78954224674	0.8155960081110001	0.774816207705	0.7842559763179999	0.7782145244059999	0.768774755793	0.766886802071	0.709115418163	0.7506504000570001	0.6875927457269999	0.68872551796	0.680040930837	0.668713208502	0.6377507674530001	0.6426594471320001	0.618116048739	0.571672387166	0.589041561413	0.562610209299	0.5376892201619999	0.546373807285	0.521452818149	0.487092060399	0.48293856221000003	0.44329153403800003	0.464814206474	0.43385176542599996	0.411196320756	0.424034406069	0.360599160993	0.34096444228	0.351536983125	0.320574542077	0.311134773464	0.275263652737	0.24656675615600002	0.245433983922	0.255628934024	0.260160022958	0.24656675615600002	0.243923620944	0.22730962818599998	0.236749396799	0.22730962818599998	0.22542167446400002	0.214093952129	0.22089058553000004	0.235239033821	0.23259589860899998	0.268089428592	0.26355833965799996	0.26884461008099997	0.263935930402	0.289234510284	0.340209260791	0.338698897813	0.37230447407300005	0.32170731431	0.35040421089199997	0.316798634632	0.37457001854	0.35191457386999997	0.334545399623	0.3258608125	0.369283748117	0.322840086544	0.331524673667	0.367773385139	0.35455770908100004	0.283948239861	0.230707944887	0.241280485733	0.165762336834	0.17557969619000002	0.13857580323	0.13442230504	0.120451447494
1CDU_12	0.6736213663539999	0.642822734129	0.589122554865	0.6309771063499999	0.634925648943	0.669672823761	0.643612442647	0.661775738575	0.62544914672	0.634925648943	0.6136035189410001	0.6136035189410001	0.592281388939	0.664934572649	0.6625654470929999	0.656247778945	0.664934572649	0.631766814869	0.650719819315	0.6854669941320001	0.6996817474670001	0.702840581541	0.6933640793179999	0.694943496355	0.690205245244	0.664934572649	0.6830978685770001	0.722583294506	0.7818114334	0.690205245244	0.69810233043	0.727321545618	0.7186347519130001	0.6933640793179999	0.710737666727	0.6530889448699999	0.634135940424	0.639663900054	0.648350693759	0.5733283844929999	0.570169550419	0.582804886716	0.586753429309	0.519628205229	0.562272465233	0.461189774854	0.499095783746	0.49672665819	0.49198840707900005	0.441447061889	0.42170434892499997	0.38932629966300003	0.349840873734	0.373532129291	0.364055627068	0.337995245955	0.36326591854900003	0.321411367064	0.370373295217	0.37984979744	0.32378049261999997	0.33562612039899997	0.32378049261999997	0.332467286325	0.321411367064	0.35615854188199997	0.387746882626	0.331677577806	0.427232308555	0.38932629966300003	0.45803094078	0.39327484225599996	0.43433968522200006	0.436708810778	0.448554438557	0.47461481967	0.5749078015300001	0.528314998934	0.646771276722	0.665724281168	0.6957332048739999	0.667303698205	0.669672823761	0.583594595235	0.751012801175	0.736008339322	0.668093406724	0.678359617465	0.675990491909	0.641243317092	0.440657353371	0.280346524098	0.21085217446199997	0.174525582607	0.135829865197	0.0844988114887	0.0615972644497	0.058438430375300006
1CDU_13	0.7205230593709999	0.7205230593709999	0.7126245118260001	0.6941945675550001	0.6924393347669999	0.7047259642810001	0.6819079380399999	0.650313747861	0.635394269165	0.63890473474	0.6468032822850001	0.669621308526	0.7029707314929999	0.7310544560969999	0.725788757734	0.7301768397030001	0.688928869191	0.747729167581	0.715257361008	0.734564921673	0.7240335249459999	0.7135021282199999	0.753872482338	0.716134977401	0.7617710298829999	0.716134977401	0.6924393347669999	0.711746895432	0.696827416736	0.706481197069	0.676642239677	0.6871736364040001	0.618719557681	0.6002896134100001	0.623107639651	0.594146298653	0.572205888806	0.552020711747	0.612576242924	0.5388564658389999	0.5169160559920001	0.48532186581200004	0.47917855105499996	0.447584360876	0.45987099038999996	0.44582912808799996	0.42125586905999995	0.391416911668	0.370354118215	0.34227039361100003	0.321207600158	0.317697134582	0.301900039493	0.28083724604000004	0.263284918162	0.28259247882800004	0.23520119355799998	0.23695642634599998	0.21589363289299998	0.214138400105	0.214138400105	0.22466979683200003	0.212383167318	0.225547413226	0.207117468954	0.207117468954	0.215016016499	0.22466979683200003	0.25363113783	0.175523278775	0.196586072228	0.22466979683200003	0.25363113783	0.22993549519499998	0.23520119355799998	0.278204396858	0.30804335425	0.271183465707	0.285225328009	0.284347711615	0.301900039493	0.374742200184	0.310676203431	0.246610206679	0.34753609197400004	0.315064285401	0.31945236737	0.349291324762	0.340515160823	0.23520119355799998	0.294879108342	0.393172144456	0.24748782307300002	0.263284918162	0.285225328009	0.26855061652600004	0.22028171486200002	0.207117468954
1CDU_14	0.652044008577	0.653801539597	0.615135857148	0.634468698373	0.66434672572	0.569440050617	0.595803015923	0.6116207951070001	0.569440050617	0.58350029878	0.6397412914339999	0.597560546944	0.629196105311	0.676649442863	0.645013884495	0.636226229393	0.685437097965	0.620408450209	0.667861787761	0.6397412914339999	0.637983760413	0.710042532251	0.620408450209	0.70652747021	0.6924672220460001	0.669619318781	0.6994973461280001	0.659074132658	0.629196105311	0.6397412914339999	0.646771415515	0.674891911842	0.5571373334740001	0.590530422862	0.62392351225	0.555379802454	0.558894864494	0.48683609265699995	0.45520053428900004	0.476290906535	0.544834616331	0.45871559633000003	0.428837568983	0.418292382861	0.41477732081999996	0.36732398326800003	0.37435410735	0.353263735105	0.381384231432	0.351506204085	0.34623361102300004	0.26187212204300003	0.275932370206	0.335688424901	0.26187212204300003	0.279447432247	0.279447432247	0.22847903265500003	0.268902246125	0.267144715104	0.270659777145	0.268902246125	0.25132693591999994	0.231994094696	0.24078174979800002	0.21793384653200001	0.253084466941	0.298780273472	0.258357060002	0.277689901227	0.31635558367600003	0.323385707758	0.36732398326800003	0.328658300819	0.35502126612499996	0.37435410735	0.395444479595	0.33393089388	0.384899293473	0.421807444901	0.448170410208	0.525501775106	0.41653485184	0.5237442440860001	0.42356497592200004	0.467503251432	0.5237442440860001	0.513199057963	0.534289430208	0.516714120004	0.543077085311	0.492108685718	0.430595100004	0.36908151428900005	0.36732398326800003	0.30229533551300003	0.260114591023	0.22144890857299998
1CDU_16	0.8469971278	0.8081836137970001	0.855622353134	0.8331967672660001	0.7909331631290001	0.7909331631290001	0.859072443268	0.7797203701950001	0.8280216320649999	0.752982171659	0.817671361664	0.793520730729	0.8521722629999999	0.835784334866	0.840096947533	0.8745978488689999	0.845272082733	0.8245715419320001	0.788345595529	0.8961609122040001	0.859934965801	0.878047939002	0.882360551669	0.9134113628720001	0.8245715419320001	0.9004735248710001	0.809908658864	0.8616600108679999	0.805596046197	0.8418219926	0.782307937795	0.793520730729	0.7986958659289999	0.76074487446	0.700368297122	0.71761874779	0.6779427112530001	0.637404152183	0.658967215519	0.6391291972500001	0.579615142446	0.558052079111	0.542526673509	0.515788474974	0.50975081724	0.465762168037	0.4234985639	0.384685049897	0.37519730203	0.349321626027	0.37692234709600003	0.313095679625	0.31654576975800003	0.275144688155	0.23374360655200002	0.26479441775400003	0.247543967086	0.21563063335000002	0.17509207427999998	0.189754957348	0.193205047482	0.200105227749	0.19148000241500002	0.208730453083	0.18285477708099998	0.183717299614	0.173367029214	0.194067570015	0.180267209481	0.234606129085	0.21045549815	0.223393336151	0.25358162481999996	0.238918741752	0.22598090375100002	0.252719102287	0.25530666988699996	0.239781264286	0.289807571223	0.293257661356	0.30188288669	0.293257661356	0.294982706423	0.288082526156	0.294982706423	0.305332976824	0.261344327621	0.30188288669	0.317408292292	0.311370634558	0.29153261629	0.273419643088	0.238918741752	0.13196594761	0.16732937148	0.0974650462743	0.055201442137699994	0.09574000120750001
